,0
0,Gampaha
1,Badulla
2,Mannar
3,Batticaloa
4,Kandy
5,Polonnaruwa
6,Kurunegala
7,Matale
8,Kegalle
9,Puttalam
10,Kalutara
11,Nuwara Eliya
12,Mullaitivu
13,Anuradhapura
14,Trincomalee
15,Ampara
16,Monaragala
17,Colombo
18,Vavuniya
19,Ratnapura
20,Matara
21,Jaffna
22,Galle
23,Kilinochchi
24,Hambantota
